HEATING DEGREE DAY TOTALS BY MONTH FOR SEASON BEGINNING JULY 1 OF YEAR, MISSING=-9999
STDV YEAR    JUL   AUG   SEP   OCT   NOV   DEC   JAN   FEB   MAR   APR   MAY   JUN   ANNL
0699 1951      3    18   104   348   789   994  1060   953   890   442   298    30   5928
0699 1952      0    14    94   464   677   976  1016   873   813   508   208    28   5671
0699 1953      4    15    77   344   637   882  1237   835   837   497   313    41   5719
0699 1954      8    35   136   278   712  1028  1203   985   888   473   176    69   5992
0699 1955      0     6   123   352   759  1261  1147   953  1025   662   353    33   6675
0699 1956     12    21   188   410   687   937  1348   919   846   487   246    16   6116
0699 1957      8    41   100   445   623   900  1173  1177   868   528   347   133   6345
0699 1958      7    20   135   465   661  1289  1203  1107   924   494   182    61   6547
0699 1959      4     5    59   361   687  1001  1154   896  1094   472   235    44   6011
0699 1960     14    15   131   423   652  1241  1391  1005   901   613   331    47   6763
0699 1961      5    15    29   344   679  1086  1191  1129   898   531   254    38   6200
0699 1962     27    31   189   432   796  1211  1242  1186   871   546   296    48   6876
0699 1963      5    41   198   298   579  1277  1137  1079   856   583   193    58   6303
